Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
875,2 BHK Flat for Sale in Rohini,"Spacious 2 BHK apartment located in Rohini, Delhi. Furnished with modern amenities.",1.13 Cr,11342611.0,"Rohini, Delhi",516 sqft,Under Construction,13 out of 20,Resale,Furnished,North-East,,,1.0,2.0,,,,,
876,4 BHK Flat for Sale in Behala,"Spacious 4 BHK apartment located in Behala, Kolkata. Furnished with modern amenities.",1.06 Cr,10647043.0,"Behala, Kolkata",1431 sqft,Ready to Move,4 out of 8,Resale,Furnished,North-East,,Palm Enclave,4.0,1.0,,Power Of Attorney,1749 sqft,,
877,2 BHK Flat for Sale in Maninagar,"Spacious 2 BHK apartment located in Maninagar, Ahmedabad. Unfurnished with modern amenities.",63.99 Lac,,"Maninagar, Ahmedabad",,Under Construction,Ground out of 8,Resale,Unfurnished,South-East,,Palm County,1.0,0.0,0.0,Freehold,1016 sqft,,
878,2 BHK Flat for Sale in Vasant Kunj,"Spacious 2 BHK apartment located in Vasant Kunj, Delhi. Furnished with modern amenities.",1.66 Cr,16609390.0,"Vasant Kunj, Delhi",848 sqft,Under Construction,Ground out of 4,New Property,Furnished,North-East,Not Available,Silver Enclave,1.0,2.0,,,,,1181 sqft
879,3 BHK Flat for Sale in DLF Phase 3,"Spacious 3 BHK apartment located in DLF Phase 3, Gurgaon. Unfurnished with modern amenities.",1.81 Cr,18079145.0,"DLF Phase 3, Gurgaon",101 sqm,Under Construction,2 out of 15,New Property,Unfurnished,South-West,Not Available,Orchid Enclave,4.0,,,,1437 sqft,,
880,2 BHK Flat for Sale in Vastrapur,"Spacious 2 BHK apartment located in Vastrapur, Ahmedabad. Semi-Furnished with modern amenities.",49.53 Lac,4953137.0,"Vastrapur, Ahmedabad",790 sqft,Ready to Move,Ground out of 8,New Property,Semi-Furnished,,,,2.0,2.0,2.0,Co-operative Society,,,
881,5 BHK Flat for Sale in Sector 150,"Spacious 5 BHK apartment located in Sector 150, Noida. Furnished with modern amenities.",Call for Price,15209611.0,"Sector 150, Noida",164 sqm,Ready to Move,2 out of 12,New Property,Furnished,,Pool,Silver Towers,5.0,1.0,,Co-operative Society,2061 sqft,,
882,4 BHK Flat for Sale in Kukatpally,"Spacious 4 BHK apartment located in Kukatpally, Hyderabad. Unfurnished with modern amenities.",1.17 Cr,,"Kukatpally, Hyderabad",1703 sqft,Under Construction,4 out of 5,Resale,Unfurnished,North-East,Club,Orchid Woods,3.0,1.0,1.0,Leasehold,2145 sqft,,2517 sqft
883,3 BHK Flat for Sale in Sector 57,"Spacious 3 BHK apartment located in Sector 57, Gurgaon. Semi-Furnished with modern amenities.",1.76 Cr,17572961.0,"Sector 57, Gurgaon",1269 sqft,Ready to Move,12 out of 25,New Property,Semi-Furnished,South,Garden/Park,Maple Heights,,,,Leasehold,1619 sqft,59x48,
884,2 BHK Flat for Sale in Kondapur,"Spacious 2 BHK apartment located in Kondapur, Hyderabad. Furnished with modern amenities.",69.91 Lac,,"Kondapur, Hyderabad",700 sqft,Ready to Move,7 out of 20,New Property,Furnished,North,,Emerald Park,1.0,2.0,,,822 sqft,,
885,1 BHK Flat for Sale in Kharadi,"Spacious 1 BHK apartment located in Kharadi, Pune. Unfurnished with modern amenities.",34.37 Lac,3436574.0,"Kharadi, Pune",458 sqft,Under Construction,Ground out of 5,Resale,Unfurnished,South-West,,Silver Residency,2.0,1.0,1.0,,590 sqft,,
886,4 BHK Flat for Sale in Vastrapur,"Spacious 4 BHK apartment located in Vastrapur, Ahmedabad. Unfurnished with modern amenities.",92.24 Lac,9224466.0,"Vastrapur, Ahmedabad",142 sqm,Ready to Move,Ground out of 5,Resale,Unfurnished,,Garden/Park,Green Woods,3.0,3.0,,Freehold,1734 sqft,,
887,2 BHK Flat for Sale in Anna Nagar,"Spacious 2 BHK apartment located in Anna Nagar, Chennai. Unfurnished with modern amenities.",69.71 Lac,6971469.0,"Anna Nagar, Chennai",764 sqft,Ready to Move,Ground out of 6,New Property,Unfurnished,North-West,Not Available,Golden Towers,2.0,2.0,0.0,Freehold,871 sqft,26x28,
888,4 BHK Flat for Sale in Electronic City,"Spacious 4 BHK apartment located in Electronic City, Bangalore. Furnished with modern amenities.",2.08 Cr,,"Electronic City, Bangalore",1464 sqft,Under Construction,4 out of 20,New Property,Furnished,West,Pool,,4.0,2.0,2.0,,,,
889,4 BHK Flat for Sale in Behala,"Spacious 4 BHK apartment located in Behala, Kolkata. Semi-Furnished with modern amenities.",1.15 Cr,11544658.0,"Behala, Kolkata",,Ready to Move,Basement out of 6,Resale,Semi-Furnished,North-West,Garden/Park,,4.0,1.0,,,2095 sqft,41x26,2472 sqft
890,3 BHK Flat for Sale in Sohna Road,"Spacious 3 BHK apartment located in Sohna Road, Gurgaon. Semi-Furnished with modern amenities.",1.09 Cr,10912073.0,"Sohna Road, Gurgaon",1001 sqft,Ready to Move,11 out of 15,New Property,Semi-Furnished,North,Main Road,Royal Enclave,,0.0,1.0,,1274 sqft,47x51,
891,3 BHK Flat for Sale in Hadapsar,"Spacious 3 BHK apartment located in Hadapsar, Pune. Unfurnished with modern amenities.",76.64 Lac,7663773.0,"Hadapsar, Pune",885 sqft,Ready to Move,8 out of 10,New Property,Unfurnished,North-East,,Green Enclave,3.0,3.0,1.0,Co-operative Society,,25x36,
892,3 BHK Flat for Sale in Kukatpally,"Spacious 3 BHK apartment located in Kukatpally, Hyderabad. Semi-Furnished with modern amenities.",80.25 Lac,8025237.0,"Kukatpally, Hyderabad",1048 sqft,Ready to Move,8 out of 25,Resale,Semi-Furnished,North,Pool,Green Woods,4.0,,,,1392 sqft,,1868 sqft
893,4 BHK Flat for Sale in Madhapur,"Spacious 4 BHK apartment located in Madhapur, Hyderabad. Unfurnished with modern amenities.",1.59 Cr,,"Madhapur, Hyderabad",1659 sqft,Ready to Move,8 out of 15,Resale,Unfurnished,South-West,,Palm County,4.0,2.0,,Co-operative Society,205 sqm,29x26,
894,3 BHK Flat for Sale in Maninagar,"Spacious 3 BHK apartment located in Maninagar, Ahmedabad. Semi-Furnished with modern amenities.",61.02 Lac,6101806.0,"Maninagar, Ahmedabad",,Under Construction,8 out of 10,New Property,Semi-Furnished,South-West,,Orchid Heights,3.0,2.0,,,1136 sqft,,
895,1 BHK Flat for Sale in Behala,"Spacious 1 BHK apartment located in Behala, Kolkata. Unfurnished with modern amenities.",26.97 Lac,2696663.0,"Behala, Kolkata",385 sqft,Under Construction,Ground out of 4,Resale,Unfurnished,North,,Green Enclave,1.0,0.0,,Power Of Attorney,496 sqft,,
896,2 BHK Flat for Sale in Rajarhat,"Spacious 2 BHK apartment located in Rajarhat, Kolkata. Furnished with modern amenities.",44.79 Lac,,"Rajarhat, Kolkata",712 sqft,Under Construction,3 out of 8,Resale,Furnished,North-West,,Green County,1.0,,,,910 sqft,,
897,4 BHK Flat for Sale in Maninagar,"Spacious 4 BHK apartment located in Maninagar, Ahmedabad. Furnished with modern amenities.",78.3 Lac,,"Maninagar, Ahmedabad",1253 sqft,Ready to Move,11 out of 12,New Property,Furnished,South-East,Club,Palm Heights,4.0,2.0,0.0,Co-operative Society,,,
898,4 BHK Flat for Sale in Janakpuri,"Spacious 4 BHK apartment located in Janakpuri, Delhi. Semi-Furnished with modern amenities.",2.31 Cr,23132079.0,"Janakpuri, Delhi",1528 sqft,Ready to Move,3 out of 6,Resale,Semi-Furnished,North-East,Club,Green Heights,4.0,1.0,1.0,Co-operative Society,184 sqm,,
899,3 BHK Flat for Sale in New Town,"Spacious 3 BHK apartment located in New Town, Kolkata. Unfurnished with modern amenities.",1.12 Cr,,"New Town, Kolkata",,Ready to Move,1 out of 10,New Property,Unfurnished,North-East,,Lake Woods,3.0,1.0,,Power Of Attorney,1416 sqft,30x46,
900,3 BHK Flat for Sale in Bopal,"Spacious 3 BHK apartment located in Bopal, Ahmedabad. Unfurnished with modern amenities.",87.15 Lac,8715057.0,"Bopal, Ahmedabad",1271 sqft,Ready to Move,3 out of 10,Resale,Unfurnished,North-West,Club,Lake County,4.0,2.0,2.0,Freehold,1481 sqft,,
901,4 BHK Flat for Sale in Kharadi,"Spacious 4 BHK apartment located in Kharadi, Pune. Unfurnished with modern amenities.",1.23 Cr,12269191.0,"Kharadi, Pune",1475 sqft,Under Construction,10 out of 12,Resale,Unfurnished,West,,Emerald Towers,5.0,1.0,,Leasehold,1797 sqft,,
902,3 BHK Flat for Sale in Sector 62,"Spacious 3 BHK apartment located in Sector 62, Noida. Unfurnished with modern amenities.",83.45 Lac,8344947.0,"Sector 62, Noida",1403 sqft,Under Construction,2 out of 8,Resale,Unfurnished,,Club,Lake Heights,3.0,1.0,,Power Of Attorney,,22x44,2232 sqft
903,4 BHK Flat for Sale in Kondapur,"Spacious 4 BHK apartment located in Kondapur, Hyderabad. Semi-Furnished with modern amenities.",1.12 Cr,11236163.0,"Kondapur, Hyderabad",,Ready to Move,2 out of 5,Resale,Semi-Furnished,South,Pool,Palm County,5.0,3.0,,Power Of Attorney,,,
904,2 BHK Flat for Sale in OMR,"Spacious 2 BHK apartment located in OMR, Chennai. Semi-Furnished with modern amenities.",64.06 Lac,6405919.0,"OMR, Chennai",,Under Construction,Ground out of 4,Resale,Semi-Furnished,East,,Golden Enclave,3.0,,0.0,Co-operative Society,736 sqft,22x29,837 sqft
905,4 BHK Flat for Sale in Janakpuri,"Spacious 4 BHK apartment located in Janakpuri, Delhi. Unfurnished with modern amenities.",1.89 Cr,,"Janakpuri, Delhi",1634 sqft,Under Construction,15 out of 15,Resale,Unfurnished,South-West,Garden/Park,Emerald Heights,4.0,3.0,,,2007 sqft,,
906,4 BHK Flat for Sale in Sector 137,"Spacious 4 BHK apartment located in Sector 137, Noida. Unfurnished with modern amenities.",75.24 Lac,7524497.0,"Sector 137, Noida",1254 sqft,Ready to Move,6 out of 8,Resale,Unfurnished,West,Pool,,4.0,1.0,,Power Of Attorney,1434 sqft,,
907,5 BHK Flat for Sale in DLF Phase 3,"Spacious 5 BHK apartment located in DLF Phase 3, Gurgaon. Unfurnished with modern amenities.",2.05 Cr,,"DLF Phase 3, Gurgaon",1753 sqft,Ready to Move,7 out of 15,New Property,Unfurnished,,Club,Green Towers,6.0,2.0,,Leasehold,,54x21,2855 sqft
908,2 BHK Flat for Sale in Wakad,"Spacious 2 BHK apartment located in Wakad, Pune. Unfurnished with modern amenities.",47.99 Lac,4798809.0,"Wakad, Pune",580 sqft,Under Construction,7 out of 12,New Property,Unfurnished,North-West,Pool,Maple Park,2.0,2.0,1.0,,763 sqft,,879 sqft
909,3 BHK Flat for Sale in Velachery,"Spacious 3 BHK apartment located in Velachery, Chennai. Unfurnished with modern amenities.",51.71 Lac,,"Velachery, Chennai",809 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,North-East,,Green Heights,4.0,,,Freehold,1066 sqft,34x25,
910,3 BHK Flat for Sale in Hinjewadi,"Spacious 3 BHK apartment located in Hinjewadi, Pune. Unfurnished with modern amenities.",91.12 Lac,9111937.0,"Hinjewadi, Pune",86 sqm,Ready to Move,12 out of 20,New Property,Unfurnished,,Club,Maple Park,,2.0,,Power Of Attorney,,,
911,3 BHK Flat for Sale in Whitefield,"Spacious 3 BHK apartment located in Whitefield, Bangalore. Unfurnished with modern amenities.",1.37 Cr,,"Whitefield, Bangalore",1234 sqft,Under Construction,1 out of 10,New Property,Unfurnished,North-East,,Green Park,,0.0,1.0,,145 sqm,,
912,1 BHK Flat for Sale in Madhapur,"Spacious 1 BHK apartment located in Madhapur, Hyderabad. Unfurnished with modern amenities.",39.18 Lac,,"Madhapur, Hyderabad",410 sqft,Ready to Move,4 out of 8,New Property,Unfurnished,West,Pool,Emerald Residency,1.0,,2.0,Freehold,549 sqft,,
913,2 BHK Flat for Sale in Karol Bagh,"Spacious 2 BHK apartment located in Karol Bagh, Delhi. Unfurnished with modern amenities.",2.16 Cr,21613607.0,"Karol Bagh, Delhi",81 sqm,Under Construction,Ground out of 15,New Property,Unfurnished,,Main Road,Lake Towers,3.0,,,,,41x30,
914,4 BHK Flat for Sale in Baner,"Spacious 4 BHK apartment located in Baner, Pune. Unfurnished with modern amenities.",2.11 Cr,21056645.0,"Baner, Pune",1738 sqft,Under Construction,5 out of 6,New Property,Unfurnished,West,Not Available,Palm Residency,3.0,0.0,1.0,Leasehold,2261 sqft,,
915,3 BHK Flat for Sale in OMR,"Spacious 3 BHK apartment located in OMR, Chennai. Furnished with modern amenities.",56.34 Lac,5633524.0,"OMR, Chennai",,Ready to Move,4 out of 4,Resale,Furnished,,Pool,Green Towers,3.0,,2.0,Freehold,1032 sqft,,
916,4 BHK Flat for Sale in Porur,"Spacious 4 BHK apartment located in Porur, Chennai. Furnished with modern amenities.",1.09 Cr,10894884.0,"Porur, Chennai",1830 sqft,Under Construction,20 out of 20,New Property,Furnished,South,,Green Enclave,4.0,0.0,2.0,Leasehold,2114 sqft,,
917,1 BHK Flat for Sale in Kandivali West,"Spacious 1 BHK apartment located in Kandivali West, Mumbai. Semi-Furnished with modern amenities.",56.8 Lac,5680429.0,"Kandivali West, Mumbai",334 sqft,Under Construction,1 out of 8,Resale,Semi-Furnished,South-West,Garden/Park,Maple Gardens,1.0,2.0,,,449 sqft,,
918,3 BHK Flat for Sale in Porur,"Spacious 3 BHK apartment located in Porur, Chennai. Unfurnished with modern amenities.",66.9 Lac,6690266.0,"Porur, Chennai",1228 sqft,Ready to Move,18 out of 25,New Property,Unfurnished,North-West,Pool,Orchid Enclave,3.0,1.0,,Co-operative Society,1435 sqft,,
919,2 BHK Flat for Sale in Satellite,"Spacious 2 BHK apartment located in Satellite, Ahmedabad. Semi-Furnished with modern amenities.",47.86 Lac,4786057.0,"Satellite, Ahmedabad",706 sqft,Under Construction,4 out of 4,Resale,Semi-Furnished,,Main Road,Golden Gardens,3.0,2.0,2.0,,812 sqft,22x55,
920,5 BHK Flat for Sale in Vasant Kunj,"Spacious 5 BHK apartment located in Vasant Kunj, Delhi. Furnished with modern amenities.",2.4 Cr,,"Vasant Kunj, Delhi",1616 sqft,Ready to Move,20 out of 25,New Property,Furnished,East,Main Road,,5.0,1.0,1.0,Leasehold,175 sqm,,
921,4 BHK Flat for Sale in Sector 137,"Spacious 4 BHK apartment located in Sector 137, Noida. Furnished with modern amenities.",1.31 Cr,13142542.0,"Sector 137, Noida",1607 sqft,Ready to Move,17 out of 20,New Property,Furnished,South,Club,Green Residency,4.0,1.0,,Co-operative Society,,,
922,1 BHK Flat for Sale in Viman Nagar,"Spacious 1 BHK apartment located in Viman Nagar, Pune. Semi-Furnished with modern amenities.",44.13 Lac,4413273.0,"Viman Nagar, Pune",387 sqft,Under Construction,Basement out of 25,New Property,Semi-Furnished,North-West,Garden/Park,Maple Heights,1.0,,,,456 sqft,,
923,2 BHK Flat for Sale in Electronic City,"Spacious 2 BHK apartment located in Electronic City, Bangalore. Unfurnished with modern amenities.",96.86 Lac,,"Electronic City, Bangalore",65 sqm,Under Construction,8 out of 12,Resale,Unfurnished,North,Not Available,,3.0,1.0,,Power Of Attorney,879 sqft,,
924,4 BHK Flat for Sale in Maninagar,"Spacious 4 BHK apartment located in Maninagar, Ahmedabad. Furnished with modern amenities.",72.33 Lac,,"Maninagar, Ahmedabad",,Under Construction,4 out of 6,Resale,Furnished,,Main Road,Sunrise County,3.0,2.0,,Freehold,,,
925,4 BHK Flat for Sale in Sector 78,"Spacious 4 BHK apartment located in Sector 78, Noida. Furnished with modern amenities.",1.39 Cr,13930030.0,"Sector 78, Noida",1857 sqft,Under Construction,Ground out of 5,Resale,Furnished,East,,Sunrise Residency,4.0,2.0,,Co-operative Society,,37x47,
926,3 BHK Flat for Sale in Sohna Road,"Spacious 3 BHK apartment located in Sohna Road, Gurgaon. Semi-Furnished with modern amenities.",91.04 Lac,,"Sohna Road, Gurgaon",,Under Construction,4 out of 20,New Property,Semi-Furnished,North-East,,Silver Residency,3.0,2.0,0.0,Freehold,1450 sqft,,1795 sqft
927,2 BHK Flat for Sale in Kharadi,"Spacious 2 BHK apartment located in Kharadi, Pune. Furnished with modern amenities.",76.86 Lac,7686342.0,"Kharadi, Pune",545 sqft,Ready to Move,Ground out of 6,New Property,Furnished,North-West,Main Road,,2.0,0.0,1.0,Leasehold,647 sqft,,764 sqft
928,3 BHK Flat for Sale in Bopal,"Spacious 3 BHK apartment located in Bopal, Ahmedabad. Semi-Furnished with modern amenities.",69.64 Lac,6963873.0,"Bopal, Ahmedabad",121 sqm,Ready to Move,2 out of 20,Resale,Semi-Furnished,West,,Lake Woods,3.0,0.0,2.0,Co-operative Society,1695 sqft,,
929,4 BHK Flat for Sale in Marathahalli,"Spacious 4 BHK apartment located in Marathahalli, Bangalore. Unfurnished with modern amenities.",1.68 Cr,16812130.0,"Marathahalli, Bangalore",1421 sqft,Under Construction,5 out of 20,Resale,Unfurnished,North-West,Pool,Orchid Gardens,4.0,1.0,1.0,Leasehold,1647 sqft,25x38,1972 sqft
930,1 BHK Flat for Sale in Thane West,"Spacious 1 BHK apartment located in Thane West, Mumbai. Unfurnished with modern amenities.",62.05 Lac,,"Thane West, Mumbai",356 sqft,Ready to Move,2 out of 10,New Property,Unfurnished,East,,Emerald Enclave,2.0,0.0,0.0,Co-operative Society,446 sqft,,
931,3 BHK Flat for Sale in Sohna Road,"Spacious 3 BHK apartment located in Sohna Road, Gurgaon. Furnished with modern amenities.",1.74 Cr,17354974.0,"Sohna Road, Gurgaon",1123 sqft,Under Construction,5 out of 5,Resale,Furnished,,Garden/Park,Green Gardens,2.0,0.0,1.0,,,,1702 sqft
932,3 BHK Flat for Sale in Viman Nagar,"Spacious 3 BHK apartment located in Viman Nagar, Pune. Unfurnished with modern amenities.",87.54 Lac,8753548.0,"Viman Nagar, Pune",1057 sqft,Ready to Move,9 out of 20,Resale,Unfurnished,South-West,,Emerald County,3.0,,,Power Of Attorney,1196 sqft,,
933,3 BHK Flat for Sale in Sector 57,"Spacious 3 BHK apartment located in Sector 57, Gurgaon. Unfurnished with modern amenities.",1.42 Cr,14188439.0,"Sector 57, Gurgaon",1115 sqft,Under Construction,3 out of 4,Resale,Unfurnished,North,Club,,4.0,2.0,0.0,,1452 sqft,,
934,4 BHK Flat for Sale in Satellite,"Spacious 4 BHK apartment located in Satellite, Ahmedabad. Unfurnished with modern amenities.",77.9 Lac,,"Satellite, Ahmedabad",1112 sqft,Ready to Move,3 out of 8,New Property,Unfurnished,North-West,Main Road,Green Woods,4.0,,2.0,Co-operative Society,1390 sqft,,
935,4 BHK Flat for Sale in Rohini,"Spacious 4 BHK apartment located in Rohini, Delhi. Furnished with modern amenities.",1.73 Cr,17258041.0,"Rohini, Delhi",1210 sqft,Under Construction,Ground out of 8,New Property,Furnished,North-East,Club,,4.0,2.0,,Leasehold,1360 sqft,,
936,2 BHK Flat for Sale in Electronic City,"Spacious 2 BHK apartment located in Electronic City, Bangalore. Unfurnished with modern amenities.",81.58 Lac,,"Electronic City, Bangalore",608 sqft,Under Construction,5 out of 12,New Property,Unfurnished,North,,Lake Enclave,3.0,0.0,,,,38x23,
937,2 BHK Flat for Sale in Dadar West,"Spacious 2 BHK apartment located in Dadar West, Mumbai. Unfurnished with modern amenities.",1.26 Cr,12620681.0,"Dadar West, Mumbai",725 sqft,Under Construction,2 out of 4,Resale,Unfurnished,South-West,,Sunrise Enclave,2.0,3.0,,Freehold,873 sqft,,
938,4 BHK Flat for Sale in Marathahalli,"Spacious 4 BHK apartment located in Marathahalli, Bangalore. Furnished with modern amenities.",1.78 Cr,,"Marathahalli, Bangalore",1297 sqft,Ready to Move,21 out of 25,New Property,Furnished,South-West,Club,Green Heights,5.0,1.0,1.0,Freehold,152 sqm,,
939,4 BHK Flat for Sale in Kharadi,"Spacious 4 BHK apartment located in Kharadi, Pune. Furnished with modern amenities.",2.17 Cr,,"Kharadi, Pune",,Ready to Move,Ground out of 4,New Property,Furnished,South-West,,Silver Towers,4.0,2.0,0.0,,183 sqm,35x36,
940,3 BHK Flat for Sale in Anna Nagar,"Spacious 3 BHK apartment located in Anna Nagar, Chennai. Unfurnished with modern amenities.",Call for Price,7183254.0,"Anna Nagar, Chennai",966 sqft,Ready to Move,10 out of 12,New Property,Unfurnished,,,,4.0,1.0,2.0,Power Of Attorney,,,
941,3 BHK Flat for Sale in Yelahanka,"Spacious 3 BHK apartment located in Yelahanka, Bangalore. Unfurnished with modern amenities.",1.33 Cr,13349419.0,"Yelahanka, Bangalore",103 sqm,Under Construction,4 out of 4,Resale,Unfurnished,,,Silver Heights,4.0,,,Freehold,1347 sqft,54x35,
942,5 BHK Flat for Sale in Anna Nagar,"Spacious 5 BHK apartment located in Anna Nagar, Chennai. Semi-Furnished with modern amenities.",2.33 Cr,,"Anna Nagar, Chennai",2565 sqft,Ready to Move,9 out of 15,New Property,Semi-Furnished,South,,,,1.0,1.0,Co-operative Society,,,
943,4 BHK Flat for Sale in Rohini,"Spacious 4 BHK apartment located in Rohini, Delhi. Semi-Furnished with modern amenities.",2.39 Cr,,"Rohini, Delhi",113 sqm,Under Construction,15 out of 15,New Property,Semi-Furnished,North-East,,Orchid Park,5.0,0.0,,Co-operative Society,,,1922 sqft
944,5 BHK Flat for Sale in Sohna Road,"Spacious 5 BHK apartment located in Sohna Road, Gurgaon. Furnished with modern amenities.",2.88 Cr,28834152.0,"Sohna Road, Gurgaon",2077 sqft,Ready to Move,6 out of 25,Resale,Furnished,North-East,,Green Gardens,6.0,2.0,,Leasehold,2505 sqft,,2611 sqft
945,3 BHK Flat for Sale in DLF Phase 3,"Spacious 3 BHK apartment located in DLF Phase 3, Gurgaon. Semi-Furnished with modern amenities.",86.42 Lac,8642253.0,"DLF Phase 3, Gurgaon",1020 sqft,Under Construction,18 out of 20,Resale,Semi-Furnished,,,Emerald Woods,4.0,1.0,,,1284 sqft,,
946,1 BHK Flat for Sale in Electronic City,"Spacious 1 BHK apartment located in Electronic City, Bangalore. Semi-Furnished with modern amenities.",35.82 Lac,3581536.0,"Electronic City, Bangalore",322 sqft,Ready to Move,1 out of 5,New Property,Semi-Furnished,East,Pool,Palm Gardens,1.0,,0.0,,357 sqft,,
947,3 BHK Flat for Sale in Bopal,"Spacious 3 BHK apartment located in Bopal, Ahmedabad. Furnished with modern amenities.",58.27 Lac,5826761.0,"Bopal, Ahmedabad",867 sqft,Ready to Move,25 out of 25,New Property,Furnished,North,,Golden Residency,3.0,1.0,,,1060 sqft,59x36,
948,2 BHK Flat for Sale in Viman Nagar,"Spacious 2 BHK apartment located in Viman Nagar, Pune. Furnished with modern amenities.",84.78 Lac,8478042.0,"Viman Nagar, Pune",616 sqft,Under Construction,1 out of 10,Resale,Furnished,East,Pool,,2.0,3.0,2.0,Freehold,776 sqft,48x60,
949,4 BHK Flat for Sale in Kondapur,"Spacious 4 BHK apartment located in Kondapur, Hyderabad. Furnished with modern amenities.",61.39 Lac,6139372.0,"Kondapur, Hyderabad",1084 sqft,Ready to Move,Ground out of 5,New Property,Furnished,,Not Available,Orchid County,3.0,1.0,,Freehold,,,
950,3 BHK Flat for Sale in Sector 150,"Spacious 3 BHK apartment located in Sector 150, Noida. Unfurnished with modern amenities.",1.41 Cr,14124323.0,"Sector 150, Noida",1527 sqft,Ready to Move,3 out of 4,New Property,Unfurnished,East,,,3.0,3.0,,Freehold,,,
951,1 BHK Flat for Sale in Sector 62,"Spacious 1 BHK apartment located in Sector 62, Noida. Unfurnished with modern amenities.",22.61 Lac,2260945.0,"Sector 62, Noida",391 sqft,Ready to Move,Basement out of 25,New Property,Unfurnished,,,Palm Heights,1.0,1.0,0.0,Power Of Attorney,451 sqft,56x23,
952,3 BHK Flat for Sale in New Town,"Spacious 3 BHK apartment located in New Town, Kolkata. Furnished with modern amenities.",85.38 Lac,,"New Town, Kolkata",,Ready to Move,19 out of 25,New Property,Furnished,South,Club,Golden Heights,3.0,1.0,2.0,Co-operative Society,133 sqm,,
953,2 BHK Flat for Sale in Vastrapur,"Spacious 2 BHK apartment located in Vastrapur, Ahmedabad. Furnished with modern amenities.",35.09 Lac,,"Vastrapur, Ahmedabad",661 sqft,Under Construction,Ground out of 5,Resale,Furnished,,Club,Maple Heights,,2.0,,Power Of Attorney,,,
954,3 BHK Flat for Sale in Maninagar,"Spacious 3 BHK apartment located in Maninagar, Ahmedabad. Semi-Furnished with modern amenities.",45.86 Lac,4586057.0,"Maninagar, Ahmedabad",1088 sqft,Under Construction,4 out of 10,Resale,Semi-Furnished,South,,Green Gardens,3.0,1.0,,Leasehold,,,
955,1 BHK Flat for Sale in Rohini,"Spacious 1 BHK apartment located in Rohini, Delhi. Unfurnished with modern amenities.",50.46 Lac,5046437.0,"Rohini, Delhi",349 sqft,Under Construction,11 out of 15,Resale,Unfurnished,South,Garden/Park,Green Residency,2.0,3.0,0.0,Power Of Attorney,421 sqft,,
956,3 BHK Flat for Sale in Rajarhat,"Spacious 3 BHK apartment located in Rajarhat, Kolkata. Furnished with modern amenities.",59.7 Lac,,"Rajarhat, Kolkata",1138 sqft,Under Construction,14 out of 15,Resale,Furnished,West,Club,Golden Residency,3.0,3.0,,Leasehold,1312 sqft,,1627 sqft
957,1 BHK Flat for Sale in Baner,"Spacious 1 BHK apartment located in Baner, Pune. Unfurnished with modern amenities.",26.08 Lac,2608033.0,"Baner, Pune",268 sqft,Under Construction,12 out of 12,Resale,Unfurnished,West,,,1.0,2.0,1.0,,330 sqft,,429 sqft
958,2 BHK Flat for Sale in Kukatpally,"Spacious 2 BHK apartment located in Kukatpally, Hyderabad. Furnished with modern amenities.",92.08 Lac,9208322.0,"Kukatpally, Hyderabad",929 sqft,Ready to Move,Ground out of 12,New Property,Furnished,West,Garden/Park,Emerald Heights,2.0,2.0,0.0,Freehold,1108 sqft,,
959,1 BHK Flat for Sale in Hinjewadi,"Spacious 1 BHK apartment located in Hinjewadi, Pune. Unfurnished with modern amenities.",40.5 Lac,,"Hinjewadi, Pune",,Ready to Move,8 out of 8,Resale,Unfurnished,,Main Road,Silver Park,2.0,2.0,0.0,Power Of Attorney,476 sqft,,
960,2 BHK Flat for Sale in Sohna Road,"Spacious 2 BHK apartment located in Sohna Road, Gurgaon. Semi-Furnished with modern amenities.",75.93 Lac,7592983.0,"Sohna Road, Gurgaon",64 sqm,Ready to Move,Ground out of 6,New Property,Semi-Furnished,South-East,Garden/Park,Sunrise Residency,1.0,2.0,2.0,Power Of Attorney,786 sqft,,862 sqft
961,4 BHK Flat for Sale in Bopal,"Spacious 4 BHK apartment located in Bopal, Ahmedabad. Semi-Furnished with modern amenities.",1.25 Cr,,"Bopal, Ahmedabad",1808 sqft,Ready to Move,5 out of 5,New Property,Semi-Furnished,South-East,Club,Orchid Towers,4.0,3.0,1.0,Leasehold,,,
962,3 BHK Flat for Sale in Maninagar,"Spacious 3 BHK apartment located in Maninagar, Ahmedabad. Furnished with modern amenities.",86.17 Lac,8617400.0,"Maninagar, Ahmedabad",1308 sqft,Ready to Move,13 out of 15,New Property,Furnished,South-East,,Palm Enclave,2.0,0.0,1.0,Freehold,1671 sqft,,
963,4 BHK Flat for Sale in Kondapur,"Spacious 4 BHK apartment located in Kondapur, Hyderabad. Semi-Furnished with modern amenities.",1.41 Cr,,"Kondapur, Hyderabad",138 sqm,Under Construction,Ground out of 6,New Property,Semi-Furnished,South-East,,Maple Towers,4.0,,1.0,Freehold,1895 sqft,,1985 sqft
